province,year,informal_rate,unemployment_rate,labour_productivity,trained_labour_rate,employed_persons
An Giang,2018,84.97,2.51,73.36,13.6,1064.06
An Giang,2019,82.15,3.18,87.28,14.6,972.16
An Giang,2020,86.35,2.53,92.31,13.86,962.3
An Giang,2021,85.91,4.52,103.09,13.38,883.74
An Giang,2022,83.0,3.32,110.67,14.53,902.82
An Giang,2023,81.15,3.27,124.24,15.45,900.13
An Giang,2024,83.14,3.57,140.11,16.23,900.66
Ba Ria - Vung Tau,2018,64.13,2.36,584.21,25.9,603.2
Ba Ria - Vung Tau,2019,64.81,2.08,565.8,27.8,611.71
Ba Ria - Vung Tau,2020,64.59,3.56,507.86,30.07,577.6
Ba Ria - Vung Tau,2021,64.68,9.18,619.56,29.89,565.0
Ba Ria - Vung Tau,2022,62.96,2.81,675.54,28.04,623.3
Ba Ria - Vung Tau,2023,59.09,2.89,657.16,28.77,612.55
Ba Ria - Vung Tau,2024,60.96,2.48,656.74,30.06,616.6
Bac Giang,2018,65.47,1.1,83.8,16.7,1078.52
Bac Giang,2019,67.08,1.37,95.02,18.0,1099.78
Bac Giang,2020,62.81,0.79,110.39,19.83,1095.16
Bac Giang,2021,61.31,1.64,139.55,26.72,945.3
Bac Giang,2022,56.77,0.79,162.21,32.0,979.82
Bac Giang,2023,53.61,0.85,185.25,32.58,998.6
Bac Giang,2024,55.76,0.65,210.41,33.67,1018.29
Bac Kan,2018,85.14,0.82,51.7,17.7,213.47
Bac Kan,2019,86.85,1.07,57.48,16.1,208.95
Bac Kan,2020,87.14,0.88,63.59,16.32,204.33
Bac Kan,2021,79.3,3.86,98.12,27.02,140.08
Bac Kan,2022,74.9,3.16,103.22,27.58,147.14
Bac Kan,2023,76.28,3.42,113.92,27.99,148.76
Bac Kan,2024,75.28,3.23,123.07,29.04,152.65
Bac Lieu,2018,88.19,3.66,80.24,8.2,494.5
Bac Lieu,2019,87.96,3.74,83.31,8.8,500.89
Bac Lieu,2020,88.94,3.48,89.22,10.27,491.64
Bac Lieu,2021,88.52,2.35,100.38,10.66,470.71
Bac Lieu,2022,87.43,2.12,117.18,12.19,472.95
