year,wage_region,min_wage_nominal,effective_date,decree,note,source
2018,I,3980000,2018-01-01,141/2017/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-141-2017-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-359510.aspx
2018,II,3530000,2018-01-01,141/2017/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-141-2017-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-359510.aspx
2018,III,3090000,2018-01-01,141/2017/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-141-2017-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-359510.aspx
2018,IV,2760000,2018-01-01,141/2017/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-141-2017-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-359510.aspx
2019,I,4180000,2019-01-01,157/2018/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-157-2018-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-lao-dong-390933.aspx
2019,II,3710000,2019-01-01,157/2018/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-157-2018-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-lao-dong-390933.aspx
2019,III,3250000,2019-01-01,157/2018/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-157-2018-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-lao-dong-390933.aspx
2019,IV,2920000,2019-01-01,157/2018/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-157-2018-ND-CP-muc-luong-toi-thieu-vung-nguoi-lao-dong-lam-viec-theo-hop-dong-lao-dong-390933.aspx
2020,I,4420000,2020-01-01,90/2019/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-90-2019-ND-CP-muc-luong-toi-thieu-vung-418807.aspx
2020,II,3920000,2020-01-01,90/2019/ND-CP,annual policy value,https://thuvienphapluat.vn/van-ban/Lao-dong-Tien-luong/Nghi-dinh-90-2019-ND-CP-muc-luong-toi-thieu-vung-418807.aspx
