treatment,model,estimator,control_set,controls,controls_included,province_fe,year_fe,coefficient,standard_error,t_stat,p_value,ci_lower_95,ci_upper_95,n_obs,n_provinces,n_years,r_squared,r_squared_within,r_squared_between,r_squared_overall,design_rank,n_parameters,cluster,inference_note
real_min_wage,pooled_ols_no_controls,statsmodels_ols,none,,False,False,False,-2.6610171761140874e-05,3.1134239336059636e-06,-8.546915655755562,1.264215096843954e-17,-3.271237053961359e-05,-2.050797298266816e-05,441,63,7,0.5223808148540103,,,,2,2,province,Cluster-robust standard errors by province from statsmodels.
real_min_wage,pooled_ols_controls,statsmodels_ols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,False,False,-1.3759461760581904e-05,4.828934509147715e-06,-2.8493784155731667,0.00438047449115784,-2.322399948221403e-05,-4.294924038949779e-06,441,63,7,0.6876403760291928,,,,6,6,province,Cluster-robust standard errors by province from statsmodels.
real_min_wage,pooled_ols_controls,statsmodels_ols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,False,False,-1.6099061663774946e-05,4.884025810192943e-06,-3.2962687523428453,0.0009797823836081405,-2.5671576351317172e-05,-6.526546976232721e-06,441,63,7,0.6794079371491367,,,,6,6,province,Cluster-robust standard errors by province from statsmodels.
real_min_wage,province_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,True,False,3.9286531519236566e-06,1.4280855244232775e-06,2.7509929095529597,0.0062312221438713955,1.120545324946811e-06,6.736760978900502e-06,441,63,7,0.6833859457951877,0.683385945795188,0.10607720334281112,0.15339776487178092,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
real_min_wage,province_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,True,False,4.1104350031017995e-06,1.4403975354558279e-06,2.853680947045645,0.004562690482082132,1.2781175234430586e-06,6.942752482760541e-06,441,63,7,0.6760765740513889,0.6760765740513885,0.29412933076326875,0.3254365961790988,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
real_min_wage,year_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,False,True,-1.4888388264810345e-05,5.242746704100038e-06,-2.8398068999150827,0.004728784719345125,-2.519305474116738e-05,-4.58372178845331e-06,441,63,7,0.6808891005487324,0.44338633096994606,0.7087600422696831,0.6870080192873425,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
real_min_wage,year_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,False,True,-1.7213903871452778e-05,5.280879909939832e-06,-3.259665844521904,0.001204278319385299,-2.759352151177622e-05,-6.834286231129335e-06,441,63,7,0.6729737926478969,0.4175384812258601,0.7020637953818147,0.6787419631541016,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
real_min_wage,two_way_fe_controls,linearmodels_panelols,log_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;log_employed_persons,True,True,True,3.6882338480785768e-06,1.8595272253460065e-06,1.9834255706540131,0.04806479157506938,3.156849515819569e-08,7.344899200998958e-06,441,63,7,0.45379079032469094,0.6590245911982964,0.1660577548342007,0.20646502012662438,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
real_min_wage,two_way_fe_controls,linearmodels_panelols,level_employment_scale,unemployment_rate;labour_productivity;trained_labour_rate;employed_persons,True,True,True,3.835139290579238e-06,1.896753921004819e-06,2.0219487874038746,0.04390677312581959,1.0526954120590314e-07,7.565009039952573e-06,441,63,7,0.44096747414070525,0.6490128390541419,0.33567871079401723,0.3613619298502093,6,6,province,Entity-clustered standard errors from linearmodels.PanelOLS.
log_real_min_wage,pooled_ols_no_controls,statsmodels_ols,none,,False,False,False,-90.2843613678684,10.979496074171992,-8.222996825897322,1.9848008944509932e-16,-111.80377824164442,-68.76494449409238,441,63,7,0.5085843687498376,,,,2,2,province,Cluster-robust standard errors by province from statsmodels.
