province,year,wage_region,unemployment_rate,labour_productivity,trained_labour_rate,log_employed_persons,treatment,cate,cate_lb,cate_ub
An Giang,2018,II,2.51,73.36,13.6,6.969847059289122,log_real_min_wage,-58.277778264462576,-85.70795261574747,-30.847603913177693
An Giang,2019,II,3.18,87.28,14.6,6.879520399967353,log_real_min_wage,-43.27245201131839,-70.14543711361569,-16.3994669090211
An Giang,2020,II,2.53,92.31,13.86,6.869326252362355,log_real_min_wage,-41.522176935045614,-68.80108512988042,-14.24326874021082
An Giang,2021,II,4.52,103.09,13.38,6.784162901729506,log_real_min_wage,-9.717663923344857,-24.662490501865665,5.22716265517596
An Giang,2022,II,3.32,110.67,14.53,6.805523197998842,log_real_min_wage,-12.31527123915533,-27.673932874300604,3.043390395989928
An Giang,2023,II,3.27,124.24,15.45,6.802539197337661,log_real_min_wage,-10.863295264564789,-23.2315647543084,1.504974225178808
An Giang,2024,II,3.57,140.11,16.23,6.80312782790014,log_real_min_wage,-10.568712098061145,-29.22353378186573,8.086109585743435
Ba Ria - Vung Tau,2018,I,2.36,584.21,25.9,6.402248816693747,log_real_min_wage,-7.507779351181632,-26.78037715907345,11.764818456710188
Ba Ria - Vung Tau,2019,I,2.08,565.8,27.8,6.416258313997843,log_real_min_wage,-3.7551801023599696,-24.635563173637923,17.125202968917982
Ba Ria - Vung Tau,2020,I,3.56,507.86,30.07,6.358881587578616,log_real_min_wage,-6.414219218242358,-28.775712805281085,15.947274368796364
Ba Ria - Vung Tau,2021,I,9.18,619.56,29.89,6.336825731146441,log_real_min_wage,-8.554871271151718,-34.46009648380837,17.350353941504924
Ba Ria - Vung Tau,2022,I,2.81,675.54,28.04,6.435027943814805,log_real_min_wage,-4.654817151870685,-24.980223522240408,15.670589218499044
Ba Ria - Vung Tau,2023,I,2.89,657.16,28.77,6.41763057174018,log_real_min_wage,-4.114729714513412,-24.26270149282774,16.033242063800927
Ba Ria - Vung Tau,2024,I,2.48,656.74,30.06,6.42422051545205,log_real_min_wage,-3.0197707777117606,-24.75922936991092,18.719687814487383
Bac Giang,2018,II,1.1,83.8,16.7,6.983345009931724,log_real_min_wage,-65.35139727407866,-94.07007442915784,-36.63272011899948
Bac Giang,2019,II,1.37,95.02,18.0,7.002865438783795,log_real_min_wage,-67.42609067535881,-95.99786351081242,-38.85431783990523
Bac Giang,2020,II,0.79,110.39,19.83,6.998655750297762,log_real_min_wage,-64.9492933631804,-96.54314731933128,-33.35543940702952
Bac Giang,2021,II,1.64,139.55,26.72,6.851502337431339,log_real_min_wage,-30.0460584870886,-54.07464262520175,-6.017474348975487
Bac Giang,2022,II,0.79,162.21,32.0,6.887368881325193,log_real_min_wage,-21.493623372809672,-41.08494251716196,-1.9023042284573144
Bac Giang,2023,II,0.85,185.25,32.58,6.906354298066509,log_real_min_wage,-23.711597740314826,-44.44042018978645,-2.9827752908431435
Bac Giang,2024,II,0.65,210.41,33.67,6.925880028840684,log_real_min_wage,-19.945264970963915,-44.210974192501226,4.320444250573384
Bac Kan,2018,III,0.82,51.7,17.7,5.363496307573008,log_real_min_wage,-7.609052584309977,-19.646895952313223,4.428790783693263
Bac Kan,2019,III,1.07,57.48,16.1,5.342094988893924,log_real_min_wage,-6.253316338398389,-15.045359031420253,2.5387263546234884
Bac Kan,2020,III,0.88,63.59,16.32,5.319736333921337,log_real_min_wage,-6.89062684528607,-17.34579617303408,3.56454248246194
Bac Kan,2021,III,3.86,98.12,27.02,4.942213687977596,log_real_min_wage,-3.399128767834412,-22.64676765982401,15.848510124155196
Bac Kan,2022,III,3.16,103.22,27.58,4.991384514504119,log_real_min_wage,-1.2422187868409489,-22.311713668517804,19.8272760948359
Bac Kan,2023,III,3.42,113.92,27.99,5.0023342690568695,log_real_min_wage,-6.158044524608457,-27.65496585140624,15.338876802189322
Bac Kan,2024,III,3.23,123.07,29.04,5.028147719180887,log_real_min_wage,-5.646937565486782,-27.664024924090647,16.37014979311708
Bac Lieu,2018,III,3.66,80.24,8.2,6.203547151062767,log_real_min_wage,-6.100748263877768,-20.306924466943045,8.105427939187507
Bac Lieu,2019,III,3.74,83.31,8.8,6.216386516099603,log_real_min_wage,-6.906067701922244,-23.25824993676904,9.44611453292455
Bac Lieu,2020,III,3.48,89.22,10.27,6.19774674134678,log_real_min_wage,-5.424291413711357,-19.87583569859156,9.027252871168848
Bac Lieu,2021,III,2.35,100.38,10.66,6.154242193135749,log_real_min_wage,-0.9210433521522604,-11.584493856109884,9.742407151805356
Bac Lieu,2022,II,2.12,117.18,12.19,6.158989674659179,log_real_min_wage,-4.693044814742101,-18.49764852660967,9.111558897125466
Bac Lieu,2023,II,2.05,125.74,13.06,6.161734608815124,log_real_min_wage,-6.462775866454192,-21.60527011397116,8.679718381062777
Bac Lieu,2024,II,2.34,137.98,14.3,6.166152878152788,log_real_min_wage,-6.973154928225459,-19.076736812654296,5.130426956203375
Bac Ninh,2018,II,2.1,275.72,28.0,6.5554422366750895,log_real_min_wage,0.0389305216478589,-18.82850187313776,18.906362916433505
Bac Ninh,2019,II,2.48,263.34,28.0,6.6320676513787244,log_real_min_wage,2.965228321939041,-14.336857007996258,20.267313651874336
Bac Ninh,2020,II,2.19,275.46,27.8,6.631580081116121,log_real_min_wage,2.604550152701682,-15.382693618235075,20.591793923638395
Bac Ninh,2021,II,2.7,309.02,33.49,6.615181260449928,log_real_min_wage,4.161493145020396,-14.890330907144254,23.21331719718508
Bac Ninh,2022,II,2.55,327.31,34.42,6.64475281090604,log_real_min_wage,4.515135786318461,-14.483102448910628,23.513374021547623
Bac Ninh,2023,II,2.68,308.19,34.45,6.648647705734341,log_real_min_wage,4.558859988377145,-14.162089436838713,23.27980941359304
Bac Ninh,2024,II,2.31,314.73,35.88,6.661598953358855,log_real_min_wage,4.466261932193214,-15.62380469126279,24.5563285556492
Ben Tre,2018,III,0.33,58.79,9.2,6.689586831290671,log_real_min_wage,-9.30754447176001,-19.43958325428931,0.8244943107692944
Ben Tre,2019,III,1.88,63.76,11.6,6.703188113240863,log_real_min_wage,-8.876830180035236,-18.09016666038097,0.3365063003104964
Ben Tre,2020,III,2.16,66.69,12.56,6.698613247303741,log_real_min_wage,-9.105704327877946,-17.627658720303334,-0.5837499354525537
Ben Tre,2021,III,2.09,75.95,12.95,6.634764755273346,log_real_min_wage,-9.04382426722613,-17.920123282503496,-0.1675252519487617
Ben Tre,2022,III,2.0,82.35,11.93,6.649282433114343,log_real_min_wage,-8.568171893150442,-16.126610912394156,-1.0097328739067457
Ben Tre,2023,III,1.83,87.03,12.7,6.650757588661351,log_real_min_wage,-8.369598962588368,-15.856007409688338,-0.8831905154884039
Ben Tre,2024,III,1.97,95.22,13.68,6.65172690033215,log_real_min_wage,-8.241590005551135,-17.905289070810483,1.4221090597082018
Binh Dinh,2018,III,3.06,84.65,21.2,6.783427120664747,log_real_min_wage,-11.30106374399735,-20.98909470978422,-1.6130327782104832
Binh Dinh,2019,III,3.42,95.8,19.2,6.76222070699491,log_real_min_wage,-11.176294192313843,-23.457945436300182,1.105357051672479
Binh Dinh,2020,III,2.85,106.09,21.8,6.7366228893271005,log_real_min_wage,-10.314789859337194,-23.991386353616832,3.361806634942422
Binh Dinh,2021,III,2.75,117.95,24.96,6.70196036600254,log_real_min_wage,-10.96076891401633,-24.06379452082981,2.142256692797144
Binh Dinh,2022,III,2.54,129.08,25.01,6.716401050157335,log_real_min_wage,-10.947591441041045,-26.343639609108592,4.448456727026505
Binh Dinh,2023,III,1.99,141.2,25.58,6.725177689414589,log_real_min_wage,-11.266077965593253,-29.222972133525275,6.690816202338764
Binh Dinh,2024,III,1.96,154.7,26.15,6.729680691035505,log_real_min_wage,-9.995771289529834,-29.47881165150656,9.487269072446882
Binh Duong,2018,I,2.23,225.52,20.6,7.266534008411495,log_real_min_wage,-33.7754056594484,-72.64985048630055,5.099039167403589
Binh Duong,2019,I,2.67,225.72,21.9,7.380124857162069,log_real_min_wage,-32.24355030512544,-70.49912032308427,6.012019712833357
Binh Duong,2020,I,3.31,243.02,20.13,7.376458062494825,log_real_min_wage,-30.44215085968944,-69.46877026114694,8.584468541768072
Binh Duong,2021,I,2.2,252.24,21.03,7.3904406538838145,log_real_min_wage,-30.15890035640897,-70.95283105639243,10.635030343574428
Binh Duong,2022,I,1.31,259.43,21.1,7.473245208885646,log_real_min_wage,-31.587720354852426,-70.88757955821819,7.712138848513319
Binh Duong,2023,I,1.42,254.65,23.28,7.5204079831697666,log_real_min_wage,-30.592239345728405,-69.58613206182606,8.40165337036926
Binh Duong,2024,I,1.81,266.3,23.79,7.554952757437984,log_real_min_wage,-29.346771305519336,-69.3454617704103,10.65191915937163
Binh Phuoc,2018,III,3.04,96.85,16.8,6.3461274682857605,log_real_min_wage,-13.034161962634412,-22.93199137641498,-3.1363325488538365
Binh Phuoc,2019,III,2.73,106.21,15.8,6.377050024955315,log_real_min_wage,-13.125893329650903,-29.10214462535768,2.8503579660558778
Binh Phuoc,2020,III,2.93,116.54,18.06,6.376046444299722,log_real_min_wage,-16.422970186969817,-27.40448557453139,-5.441454799408248
Binh Phuoc,2021,III,3.01,133.66,19.21,6.36882163341688,log_real_min_wage,-16.468479553581076,-28.25209316440516,-4.684865942757009
Binh Phuoc,2022,II,2.05,152.74,20.11,6.382763115298569,log_real_min_wage,-17.874596051200818,-31.44672047705548,-4.302471625346151
Binh Phuoc,2023,II,2.79,168.44,20.0,6.375740066533543,log_real_min_wage,-18.801777115954373,-33.222047431395005,-4.3815068005137405
Binh Phuoc,2024,II,2.46,193.8,21.6,6.379986934485834,log_real_min_wage,-17.016721005622678,-34.027959923408304,-0.0054820878370236
Binh Thuan,2018,III,2.87,93.47,14.0,6.552493621597604,log_real_min_wage,-10.318330723896162,-22.213316729198084,1.5766552814057686
Binh Thuan,2019,III,2.94,111.9,16.3,6.561539730077933,log_real_min_wage,-12.027557944730368,-26.71407587012733,2.6589599806665944
Binh Thuan,2020,III,2.86,123.71,15.66,6.541794497651262,log_real_min_wage,-12.1201455315138,-26.874737900247663,2.634446837220059
Binh Thuan,2021,III,3.5,136.69,18.29,6.506650650150935,log_real_min_wage,-17.53595729034662,-26.22197020332305,-8.849944377370191
Binh Thuan,2022,II,3.5,147.96,18.47,6.512487995850418,log_real_min_wage,-16.34395962095229,-26.88134167256233,-5.806577569342261
Binh Thuan,2023,II,2.35,150.99,19.55,6.529754548328652,log_real_min_wage,-14.382865729146598,-31.408627765232023,2.64289630693882
Binh Thuan,2024,II,2.18,168.27,21.4,6.539585955617669,log_real_min_wage,-14.599141285913907,-32.47622577845788,3.27794320663006
Ca Mau,2018,III,2.55,86.09,12.5,6.506620780234419,log_real_min_wage,-12.743789064410231,-24.889068098285584,-0.5985100305348823
Ca Mau,2019,III,2.1,89.31,12.3,6.5185866588408645,log_real_min_wage,-12.953906932791526,-25.60341968377568,-0.3043941818073747
Ca Mau,2020,III,2.27,93.16,13.02,6.486724654332361,log_real_min_wage,-13.224447566807676,-24.58630143700328,-1.862593696612068
Ca Mau,2021,III,2.52,107.38,14.08,6.368633056061032,log_real_min_wage,-10.550523363719051,-26.48262944375268,5.381582716314576
Ca Mau,2022,II,1.47,122.59,14.33,6.399875312504716,log_real_min_wage,-10.807972066676747,-29.265490546777016,7.649546413423513
Ca Mau,2023,II,1.91,126.23,15.13,6.422889756885678,log_real_min_wage,-13.447931657665814,-25.271157984541105,-1.6247053307905066
Ca Mau,2024,II,2.25,138.66,16.42,6.435637416319196,log_real_min_wage,-16.19814793590519,-29.71050922763289,-2.685786644177483
Can Tho,2018,II,3.58,122.59,24.2,6.520429651201759,log_real_min_wage,-16.33764010764679,-25.341789945633543,-7.333490269660041
Can Tho,2019,II,3.18,128.26,16.4,6.5513802900524025,log_real_min_wage,-11.75240597177876,-24.60554441443337,1.1007324708758457
Can Tho,2020,II,3.6,129.59,20.6,6.54149165307311,log_real_min_wage,-13.427826825142391,-22.724440198835488,-4.131213451449305
Can Tho,2021,II,3.96,163.79,24.18,6.333013162800813,log_real_min_wage,-19.978738015386213,-37.65883328625368,-2.298642744518752
Can Tho,2022,II,3.72,185.67,22.93,6.374598834731133,log_real_min_wage,-19.56116448036126,-37.26745309529322,-1.8548758654292816
Can Tho,2023,II,3.78,199.12,23.35,6.390777435730948,log_real_min_wage,-19.057774237907008,-32.272857544773096,-5.842690931040922
Can Tho,2024,II,3.82,218.42,25.19,6.408611159989984,log_real_min_wage,-15.797277992347984,-33.110643492999046,1.5160875083030714
Cao Bang,2018,IV,1.05,46.7,20.6,5.848517537788049,log_real_min_wage,-6.67310324884067,-19.03285803669567,5.686651539014392
Cao Bang,2019,IV,0.79,50.39,20.8,5.847882818629958,log_real_min_wage,-7.216440252093304,-19.8143728474886,5.381492343301927
Cao Bang,2020,IV,0.96,55.19,21.8,5.846178625614856,log_real_min_wage,-6.735993493069182,-19.992943148231305,6.520956162092939
Cao Bang,2021,IV,4.29,123.57,24.7,5.058154810064233,log_real_min_wage,-8.220984543347623,-26.40836795637476,9.966398869679509
Cao Bang,2022,IV,3.73,104.24,25.57,5.306682282879664,log_real_min_wage,-3.60573243106325,-18.58642041850789,11.374955556381389
Cao Bang,2023,IV,3.13,101.87,25.9,5.39544407727876,log_real_min_wage,-1.365323665234134,-15.445119156829724,12.71447182636145
Cao Bang,2024,IV,2.41,108.26,26.1,5.430441519475078,log_real_min_wage,-4.244607203172545,-17.9450166213006,9.455802214955508
Da Nang,2018,II,4.28,174.33,42.6,6.365903276611023,log_real_min_wage,-17.111276030958056,-47.116569327857945,12.89401726594182
Da Nang,2019,II,3.55,189.66,44.6,6.373746319760489,log_real_min_wage,-14.984088323186878,-43.1177624744573,13.14958582808358
Da Nang,2020,II,9.41,194.43,44.04,6.281200758371324,log_real_min_wage,-17.783390222425933,-48.64778363469824,13.081003189846406
Da Nang,2021,II,8.06,202.08,48.14,6.282005030408244,log_real_min_wage,-17.485849547731036,-48.615127045956655,13.64342795049456
Da Nang,2022,II,2.42,198.42,48.54,6.441042229834467,log_real_min_wage,-10.177042035215893,-32.91286109083766,12.558777020405868
Da Nang,2023,II,1.98,212.99,49.71,6.450754741911053,log_real_min_wage,-7.0005463948463085,-32.15904315911929,18.157950369426658
Da Nang,2024,II,1.86,236.61,51.29,6.466751072253305,log_real_min_wage,-1.0179895403996864,-24.385516410624007,22.349537329824663
Dak Lak,2018,III,2.03,65.57,14.5,7.013105794589963,log_real_min_wage,-66.9321644183031,-97.95062087899773,-35.913707957608544
Dak Lak,2019,III,2.12,71.27,14.6,6.998518774628992,log_real_min_wage,-65.60695159999597,-96.02193324544514,-35.191969954546806
Dak Lak,2020,III,2.2,80.54,17.2,6.984457027245514,log_real_min_wage,-65.69933813256894,-93.74962591409756,-37.649050351040415
Dak Lak,2021,III,1.05,87.56,18.28,7.01298878657478,log_real_min_wage,-68.37600400314412,-99.924033912345,-36.82797409394327
