treatment,cut_by,group,n,cate_mean,cate_sd,share_negative,caveat
log_real_min_wage,labour_productivity,low,147,-20.049748124904106,22.447454784988317,0.9659863945578231,
log_real_min_wage,labour_productivity,mid,147,-17.632164632701052,16.403383138775983,1.0,
log_real_min_wage,labour_productivity,high,147,-13.946563918760644,11.177311454891598,0.9047619047619048,
log_real_min_wage,unemployment_rate,low,148,-21.126183115855582,21.274808524852812,0.9864864864864865,
log_real_min_wage,unemployment_rate,mid,147,-18.384508802646764,18.080020834420313,0.9319727891156463,
log_real_min_wage,unemployment_rate,high,146,-12.056083399247063,9.562242161909307,0.952054794520548,
log_real_min_wage,trained_labour_rate,low,147,-18.294076163138534,17.885878144409705,0.9863945578231292,
log_real_min_wage,trained_labour_rate,mid,147,-21.1320869527142,19.74999518521469,0.9795918367346939,
log_real_min_wage,trained_labour_rate,high,147,-12.202313560513058,12.846255309486619,0.9047619047619048,
log_real_min_wage,year,2018,63,-20.833025379271103,20.881173661029358,0.9682539682539683,
log_real_min_wage,year,2019,63,-19.207938262379095,20.19072016238344,0.9365079365079365,
log_real_min_wage,year,2020,63,-18.389280728659088,19.22373929443532,0.9523809523809523,
log_real_min_wage,year,2021,63,-15.314150716803752,15.428271809486331,0.9682539682539683,
log_real_min_wage,year,2022,63,-15.681796969452924,15.57680818783377,0.9682539682539683,
log_real_min_wage,year,2023,63,-15.823152406235241,15.173328548208719,0.9523809523809523,
log_real_min_wage,year,2024,63,-15.217101115385642,14.290595069164931,0.9523809523809523,
log_real_min_wage,wage_region,I,49,-17.606344481818194,14.033297094262556,0.8979591836734694,wage_region ~ treatment intensity itself; descriptive only
log_real_min_wage,wage_region,II,115,-19.284581682350193,18.075333587801033,0.9217391304347826,wage_region ~ treatment intensity itself; descriptive only
log_real_min_wage,wage_region,III,235,-17.799635756520814,18.737662892233356,0.9829787234042553,wage_region ~ treatment intensity itself; descriptive only
log_real_min_wage,wage_region,IV,42,-7.76271179914321,4.073769403252974,0.9761904761904762,wage_region ~ treatment intensity itself; descriptive only
real_min_wage,labour_productivity,low,147,-6.01909877249257e-06,6.300650172042e-06,0.9659863945578231,
real_min_wage,labour_productivity,mid,147,-5.197346326842975e-06,4.585918750239559e-06,1.0,
real_min_wage,labour_productivity,high,147,-3.346350002289273e-06,3.1207546332461346e-06,0.8367346938775511,
real_min_wage,unemployment_rate,low,148,-6.192353058203257e-06,5.968990466370705e-06,0.9594594594594594,
real_min_wage,unemployment_rate,mid,147,-4.96701309396492e-06,5.1873274212463575e-06,0.891156462585034,
real_min_wage,unemployment_rate,high,146,-3.3843267295337165e-06,2.7429433902831564e-06,0.952054794520548,
real_min_wage,trained_labour_rate,low,147,-5.517686773257792e-06,5.019384015656912e-06,1.0,
real_min_wage,trained_labour_rate,mid,147,-6.096167078279608e-06,5.4797753956639665e-06,0.9659863945578231,
real_min_wage,trained_labour_rate,high,147,-2.9489412500874165e-06,3.656319370631975e-06,0.8367346938775511,
real_min_wage,year,2018,63,-6.02080375186144e-06,5.867130255138442e-06,0.9682539682539683,
real_min_wage,year,2019,63,-5.5046412904272666e-06,5.694174610301088e-06,0.9523809523809523,
real_min_wage,year,2020,63,-5.271207625663278e-06,5.4634382844515385e-06,0.9682539682539683,
real_min_wage,year,2021,63,-4.2935612241376325e-06,4.403713661942532e-06,0.9206349206349206,
real_min_wage,year,2022,63,-4.343263520339098e-06,4.457593941522982e-06,0.9365079365079365,
real_min_wage,year,2023,63,-4.378832607185228e-06,4.344571630328701e-06,0.9206349206349206,
real_min_wage,year,2024,63,-4.167545217510627e-06,4.0878914612047225e-06,0.873015873015873,
real_min_wage,wage_region,I,49,-3.42672318407343e-06,3.822393067382632e-06,0.8367346938775511,wage_region ~ treatment intensity itself; descriptive only
real_min_wage,wage_region,II,115,-5.455081038427888e-06,5.29877734933995e-06,0.8608695652173913,wage_region ~ treatment intensity itself; descriptive only
real_min_wage,wage_region,III,235,-5.252821248132724e-06,5.264757334705003e-06,0.9872340425531915,wage_region ~ treatment intensity itself; descriptive only
real_min_wage,wage_region,IV,42,-2.644622171163164e-06,1.283426410454816e-06,0.9523809523809523,wage_region ~ treatment intensity itself; descriptive only
min_wage_growth,labour_productivity,low,147,243.45577048505714,274.4204224229364,0.08163265306122448,
min_wage_growth,labour_productivity,mid,147,-33.11865506000605,476.85201354799665,0.673469387755102,
min_wage_growth,labour_productivity,high,147,-51.092438825727314,790.5965276043504,0.6394557823129252,
min_wage_growth,unemployment_rate,low,148,152.56382746435713,459.7035927622556,0.2972972972972973,
min_wage_growth,unemployment_rate,mid,147,38.052465355115395,747.0557033679893,0.5306122448979592,
