treatment,learner,seed,fold,theta_fold,n_fold
real_min_wage,ridge_numpy,42,1,-1.3435667285443387e-05,89
real_min_wage,ridge_numpy,42,2,-1.885076554213487e-05,88
real_min_wage,ridge_numpy,42,3,-1.3139128252464244e-05,88
real_min_wage,ridge_numpy,42,4,-1.719427146265776e-05,88
real_min_wage,ridge_numpy,42,5,-1.6153418375117353e-05,88
real_min_wage,ridge_numpy,123,1,-1.6042041497196094e-05,89
real_min_wage,ridge_numpy,123,2,-1.549729223433568e-05,88
real_min_wage,ridge_numpy,123,3,-1.880678766519432e-05,88
real_min_wage,ridge_numpy,123,4,-2.2034338843592205e-05,88
real_min_wage,ridge_numpy,123,5,-6.627841323590228e-06,88
real_min_wage,ridge_numpy,2024,1,-2.0755215065164442e-05,89
real_min_wage,ridge_numpy,2024,2,-2.0798676425175224e-05,88
real_min_wage,ridge_numpy,2024,3,-1.2384616421089218e-05,88
real_min_wage,ridge_numpy,2024,4,-1.2884729489749635e-05,88
real_min_wage,ridge_numpy,2024,5,-1.292353842761615e-05,88
real_min_wage,random_forest_custom,42,1,-6.6668924252782745e-06,89
real_min_wage,random_forest_custom,42,2,-1.3832418647438447e-05,88
real_min_wage,random_forest_custom,42,3,-5.551490328775592e-06,88
real_min_wage,random_forest_custom,42,4,-7.551626021997851e-06,88
real_min_wage,random_forest_custom,42,5,-9.426117133277315e-06,88
real_min_wage,random_forest_custom,123,1,-4.235298693581276e-06,89
real_min_wage,random_forest_custom,123,2,-8.970484145643793e-06,88
real_min_wage,random_forest_custom,123,3,-1.006464971236827e-05,88
real_min_wage,random_forest_custom,123,4,-1.2927895336884398e-05,88
real_min_wage,random_forest_custom,123,5,-1.6994736208491755e-06,88
real_min_wage,random_forest_custom,2024,1,-8.897119234081341e-06,89
real_min_wage,random_forest_custom,2024,2,-1.3404965203775995e-05,88
real_min_wage,random_forest_custom,2024,3,-4.847614205895192e-06,88
real_min_wage,random_forest_custom,2024,4,-1.4329268933468932e-05,88
real_min_wage,random_forest_custom,2024,5,-3.615499949119609e-06,88
real_min_wage,gradient_boosting_custom,42,1,-5.737039410530469e-06,89
real_min_wage,gradient_boosting_custom,42,2,-1.1746906535396908e-05,88
real_min_wage,gradient_boosting_custom,42,3,-4.420234626471049e-06,88
