treatment,K,learner,seed,theta,se,p_value,ci_lower,ci_upper,ci_contains_zero
log_real_min_wage,2,ridge,42,-48.60446634907863,16.216963327139705,0.0027252790349625,-80.38971447027245,-16.819218227884807,False
log_real_min_wage,2,ridge,123,-46.84929689729776,16.446271096082054,0.0043908282957831,-79.08398824561858,-14.61460554897694,False
log_real_min_wage,2,ridge,2024,-57.52348066523113,15.230697603656935,0.0001588485742816,-87.37564796839874,-27.671313362063536,False
log_real_min_wage,2,random_forest,42,-18.89335304891545,9.746206978189278,0.0525581137542239,-37.99591872616644,0.2092126283355355,True
log_real_min_wage,2,random_forest,123,-14.002279759063022,9.30582808174633,0.1324067444164995,-32.24170279928583,4.237143281159785,True
log_real_min_wage,2,random_forest,2024,-20.12855056682517,9.546816664233592,0.0349960214061109,-38.84031122872301,-1.4167899049273274,False
log_real_min_wage,2,gradient_boosting,42,-8.702499307785251,10.171817655700352,0.3922466978405121,-28.63926191295794,11.234263297387438,True
log_real_min_wage,2,gradient_boosting,123,-5.198328194253672,9.014667727610036,0.5641744126105237,-22.86707694036934,12.470420551861997,True
log_real_min_wage,2,gradient_boosting,2024,-10.729282667162408,8.444629571391333,0.2038905309117558,-27.280756627089417,5.822191292764606,True
log_real_min_wage,5,ridge,42,-49.14943790000751,16.23396600359515,0.0024653014439952,-80.96801126705401,-17.33086453296102,False
log_real_min_wage,5,ridge,123,-49.52745785199469,16.508338636977584,0.0026984852212803,-81.88380158047076,-17.171114123518628,False
log_real_min_wage,5,ridge,2024,-50.327632883964256,16.274741330286222,0.0019856061978282,-82.22612589132525,-18.429139876603266,False
log_real_min_wage,5,random_forest,42,-13.903633323161982,9.57827274820614,0.1466183020858564,-32.677047909646014,4.869781263322052,True
log_real_min_wage,5,random_forest,123,-13.31552418220272,9.50736352974432,0.1613491162787856,-31.949956700501588,5.318908336096145,True
log_real_min_wage,5,random_forest,2024,-10.938790245483183,9.425998915293809,0.2458488118162063,-29.413748119459044,7.5361676284926755,True
log_real_min_wage,5,gradient_boosting,42,-7.317984322722125,8.427853028578873,0.3852249570787407,-23.83657625873672,9.200607613292464,True
log_real_min_wage,5,gradient_boosting,123,-6.7809857653683245,8.700261084626222,0.4357439697858203,-23.83349749123572,10.27152596049907,True
log_real_min_wage,5,gradient_boosting,2024,-3.4804739918937044,8.53912284260207,0.6835735968030996,-20.21715476339376,13.256206779606352,True
log_real_min_wage,10,ridge,42,-49.92965021024933,16.39116469326313,0.0023180609491459,-82.05633300904506,-17.802967411453594,False
log_real_min_wage,10,ridge,123,-49.44166938608677,16.512222176355692,0.0027512324832776,-81.80562485174393,-17.077713920429616,False
log_real_min_wage,10,ridge,2024,-49.16979343087384,16.38749105876102,0.0026958393221858,-81.28927590604545,-17.050310955702237,False
log_real_min_wage,10,random_forest,42,-12.501166452534337,9.147883565356391,0.1717620729277609,-30.431018240632863,5.428685335564197,True
log_real_min_wage,10,random_forest,123,-12.47226600160002,9.23502251412241,0.1768428772922259,-30.57291012927994,5.628378126079902,True
log_real_min_wage,10,random_forest,2024,-12.016894752428458,9.018294945773528,0.1826953320087589,-29.69275284614457,5.658963341287658,True
log_real_min_wage,10,gradient_boosting,42,-5.576364014024676,8.254210555306944,0.4993085398088475,-21.754616702426286,10.601888674376934,True
log_real_min_wage,10,gradient_boosting,123,-3.1230516514299618,8.342054089602152,0.7081257723091836,-19.47347766705018,13.227374364190258,True
log_real_min_wage,10,gradient_boosting,2024,-9.190374610396104,8.395141219569718,0.2736369426827045,-25.64485140075276,7.264102179960542,True
real_min_wage,2,ridge,42,-1.4951885091770476e-05,5.0896446735316285e-06,0.0033064928925741,-2.492758865189247e-05,-4.976181531648484e-06,False
real_min_wage,2,ridge,123,-1.4337131068360246e-05,5.1813380684960296e-06,0.0056562409683054,-2.4492553682612463e-05,-4.1817084541080286e-06,False
real_min_wage,2,ridge,2024,-1.7611323905847803e-05,4.61788723366686e-06,0.0001368911543015,-2.666238288383485e-05,-8.560264927860758e-06,False
real_min_wage,2,random_forest,42,-5.622494949752561e-06,2.9550582596921366e-06,0.0570838728805711,-1.1414409138749148e-05,1.6941923924402644e-07,True
real_min_wage,2,random_forest,123,-3.985737580827124e-06,2.815479359421079e-06,0.156877564690858,-9.50407712529244e-06,1.532601963638191e-06,True
real_min_wage,2,random_forest,2024,-6.242896975169477e-06,2.9374976092779707e-06,0.0335663206226848,-1.20003922893543e-05,-4.854016609846548e-07,False
real_min_wage,2,gradient_boosting,42,-2.4086017218879323e-06,3.1841141751641296e-06,0.4493834764792712,-8.649465505209627e-06,3.832262061433761e-06,True
real_min_wage,2,gradient_boosting,123,-1.2477525878630112e-06,2.850223995949082e-06,0.6615504691948564,-6.8341916199232125e-06,4.338686444197189e-06,True
real_min_wage,2,gradient_boosting,2024,-3.630973680993376e-06,2.6110133374103045e-06,0.16433530668512,-8.748559822317574e-06,1.4866124603308216e-06,True
real_min_wage,5,ridge,42,-1.514307449186352e-05,5.113238213960941e-06,0.0030610181521826,-2.516502139122697e-05,-5.121127592500075e-06,False
real_min_wage,5,ridge,123,-1.521641460348496e-05,5.195496276330188e-06,0.0034030592625249,-2.539958730509213e-05,-5.033241901877794e-06,False
real_min_wage,5,ridge,2024,-1.5548355111925828e-05,5.1027931717508816e-06,0.002311159631299,-2.554982972855756e-05,-5.5468804952940994e-06,False
real_min_wage,5,random_forest,42,-3.8070498689191504e-06,2.951421827773444e-06,0.1970841038503819,-9.5918366513551e-06,1.9777369135167995e-06,True
real_min_wage,5,random_forest,123,-3.906352567620087e-06,2.916960963861151e-06,0.1805102089930761,-9.623596056787945e-06,1.8108909215477689e-06,True
real_min_wage,5,random_forest,2024,-3.2447147500408765e-06,2.8752858464539003e-06,0.2591154709291423,-8.88027500909052e-06,2.390845509008768e-06,True
