treatment,learner,seed,theta,se,p_value,ci_lower,ci_upper,ci_contains_zero,spec
log_real_min_wage,ridge,42,14.090984828050049,7.033517635521881,0.0451338286809603,0.305290262427162,27.876679393672937,False,W + year dummies + province dummies
log_real_min_wage,ridge,123,9.4077743146272,7.320331823171844,0.1987374918089774,-4.940076058789613,23.755624688044016,True,W + year dummies + province dummies
log_real_min_wage,ridge,2024,12.493786713208788,4.772768627782786,0.0088518601314833,3.139160202754528,21.848413223663048,False,W + year dummies + province dummies
log_real_min_wage,random_forest,42,-14.629401914113362,9.70748231264775,0.1318046880217196,-33.65606724690295,4.3972634186762285,True,W + year dummies + province dummies
log_real_min_wage,random_forest,123,-14.287184194311804,9.515315501349225,0.1332279715688817,-32.93720257695628,4.362834188332675,True,W + year dummies + province dummies
log_real_min_wage,random_forest,2024,-11.906713269712393,9.554977081355846,0.2127178374402387,-30.634468349169847,6.821041809745065,True,W + year dummies + province dummies
log_real_min_wage,gradient_boosting,42,-2.937885190322169,9.97202157284864,0.7682896835025304,-22.483047473105504,16.607277092461164,True,W + year dummies + province dummies
log_real_min_wage,gradient_boosting,123,-4.992523328128089,10.831315788891937,0.6448458504667636,-26.221902274356285,16.236855618100105,True,W + year dummies + province dummies
log_real_min_wage,gradient_boosting,2024,-4.073301001649882,8.777719061460209,0.6426118848217977,-21.27763036211189,13.131028358812127,True,W + year dummies + province dummies
real_min_wage,ridge,42,3.912594738941148e-06,2.0984485971235415e-06,0.062249025796804025,-2.0036451142099351e-07,8.02555398930329e-06,True,W + year dummies + province dummies
real_min_wage,ridge,123,2.4239107724963057e-06,2.1566152710293847e-06,0.2610375747373699,-1.8030551587212883e-06,6.6508767037139e-06,True,W + year dummies + province dummies
real_min_wage,ridge,2024,3.378391691520302e-06,1.4602297722136113e-06,0.020689519893175135,5.163413379816239e-07,6.24044204505898e-06,False,W + year dummies + province dummies
real_min_wage,random_forest,42,-4.054368545849431e-06,2.982104362860761e-06,0.17396721375703228,-9.899293097056523e-06,1.7905560053576603e-06,True,W + year dummies + province dummies
real_min_wage,random_forest,123,-4.203878707845978e-06,2.914007795892894e-06,0.14912050668195742,-9.91533398779605e-06,1.5075765721040935e-06,True,W + year dummies + province dummies
real_min_wage,random_forest,2024,-3.5246575155769714e-06,2.8971791718109374e-06,0.22376309966047403,-9.203128692326408e-06,2.153813661172466e-06,True,W + year dummies + province dummies
real_min_wage,gradient_boosting,42,-3.339061233553189e-07,3.0872834340489144e-06,0.9138724875824265,-6.384981654091191e-06,5.717169407380553e-06,True,W + year dummies + province dummies
real_min_wage,gradient_boosting,123,-1.8842451786133131e-06,3.209350385132838e-06,0.5571291049359399,-8.174571933473676e-06,4.406081576247049e-06,True,W + year dummies + province dummies
real_min_wage,gradient_boosting,2024,-1.0902210171626306e-06,2.691569870775683e-06,0.6854405832903607,-6.365697963882969e-06,4.185255929557708e-06,True,W + year dummies + province dummies
